INFO  - 2019-12-09 09:14:42.353; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 09:14:42.379; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5383967b, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@2ac273d3, org.springframework.test.context.support.DirtiesContextTestExecutionListener@71423665, org.springframework.test.context.transaction.TransactionalTestExecutionListener@20398b7c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6fc6f14e]
INFO  - 2019-12-09 09:17:16.222; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 09:17:16.239; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
INFO  - 2019-12-09 09:18:42.266; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 09:18:42.295; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
INFO  - 2019-12-09 09:19:56.880; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 09:19:56.902; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
INFO  - 2019-12-09 09:21:11.303; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 09:21:11.318; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
INFO  - 2019-12-09 09:22:47.938; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 09:22:47.973; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
INFO  - 2019-12-09 09:24:25.746; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 09:24:25.761; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
INFO  - 2019-12-09 09:24:59.080; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 09:24:59.094; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
INFO  - 2019-12-09 09:26:27.627; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 09:26:27.641; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
INFO  - 2019-12-09 09:27:06.092; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 09:27:06.108; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
